timestamp,rssi_pct,latency_ms,label
2026-05-09T19:47:05.845,82.0,1.0,0
2026-05-09T19:47:06.827,82.0,2.0,1
2026-05-09T19:47:07.327,82.0,1.0,1
2026-05-09T19:47:07.827,82.0,1.0,1
2026-05-09T19:47:08.328,82.0,1.0,1
2026-05-09T19:47:08.828,82.0,1.0,1
2026-05-09T19:47:09.328,82.0,1.0,1
2026-05-09T19:47:09.829,82.0,2.0,1
2026-05-09T19:47:10.329,82.0,1.0,1
2026-05-09T19:47:10.829,82.0,1.0,0
2026-05-09T19:47:11.330,82.0,2.0,0
2026-05-09T19:47:11.830,82.0,2.0,0
2026-05-09T19:47:12.331,82.0,3.0,0
2026-05-09T19:47:12.831,82.0,2.0,0
2026-05-09T19:47:13.331,82.0,2.0,0
2026-05-09T19:47:13.833,82.0,5.0,1
2026-05-09T19:47:14.333,82.0,2.0,0
2026-05-09T19:47:14.834,82.0,2.0,1
2026-05-09T19:47:15.334,82.0,2.0,1
2026-05-09T19:47:15.834,82.0,1.0,1
2026-05-09T19:47:16.335,82.0,2.0,1
2026-05-09T19:47:16.835,82.0,1.0,0
2026-05-09T19:47:17.336,82.0,1.0,0
2026-05-09T19:47:17.836,82.0,2.0,1
2026-05-09T19:47:18.337,82.0,1.0,1
2026-05-09T19:47:18.837,82.0,2.0,1
2026-05-09T19:47:19.337,82.0,2.0,1
2026-05-09T19:47:19.838,82.0,2.0,1
2026-05-09T19:47:20.338,82.0,1.0,1
2026-05-09T19:47:20.839,82.0,1.0,1
2026-05-09T19:47:21.339,82.0,2.0,1
2026-05-09T19:47:21.840,82.0,5.0,1
2026-05-09T19:47:22.340,82.0,1.0,1
2026-05-09T19:47:22.841,82.0,1.0,1
2026-05-09T19:47:23.341,82.0,2.0,1
2026-05-09T19:47:23.841,82.0,2.0,1
2026-05-09T19:47:24.342,82.0,2.0,1
2026-05-09T19:47:24.842,82.0,2.0,1
2026-05-09T19:47:25.343,82.0,2.0,1
2026-05-09T19:47:25.843,82.0,1.0,1
2026-05-09T19:47:26.344,82.0,1.0,1
2026-05-09T19:47:26.844,82.0,6.0,1
2026-05-09T19:47:27.344,82.0,2.0,1
2026-05-09T19:47:27.845,82.0,2.0,1
2026-05-09T19:47:28.345,82.0,2.0,1
2026-05-09T19:47:28.845,82.0,1.0,1
2026-05-09T19:47:29.345,82.0,2.0,1
2026-05-09T19:47:29.846,82.0,2.0,1
2026-05-09T19:47:30.347,82.0,2.0,1
2026-05-09T19:47:30.847,82.0,2.0,1
2026-05-09T19:47:31.347,82.0,1.0,1
2026-05-09T19:47:31.848,82.0,1.0,1
2026-05-09T19:47:32.348,82.0,1.0,1
2026-05-09T19:47:32.849,82.0,1.0,1
2026-05-09T19:47:33.349,82.0,2.0,1
2026-05-09T19:47:33.850,82.0,2.0,1
2026-05-09T19:47:34.350,82.0,1.0,1
2026-05-09T19:47:34.850,82.0,1.0,1
2026-05-09T19:47:35.351,82.0,1.0,1
2026-05-09T19:47:35.851,82.0,1.0,1
2026-05-09T19:47:36.352,82.0,1.0,1
2026-05-09T19:47:36.852,82.0,1.0,1
2026-05-09T19:47:37.353,82.0,1.0,1
2026-05-09T19:47:37.853,82.0,2.0,1
2026-05-09T19:47:38.354,82.0,1.0,1
2026-05-09T19:47:38.855,82.0,1.0,1
2026-05-09T19:47:39.355,82.0,1.0,1
2026-05-09T19:47:39.855,82.0,1.0,1
2026-05-09T19:47:40.356,82.0,1.0,1
2026-05-09T19:47:40.856,82.0,2.0,1
2026-05-09T19:47:41.357,82.0,1.0,1
2026-05-09T19:47:41.857,82.0,1.0,1
2026-05-09T19:47:42.357,82.0,6.0,1
2026-05-09T19:47:42.857,82.0,1.0,1
2026-05-09T19:47:43.358,82.0,1.0,1
2026-05-09T19:47:43.858,82.0,2.0,1
2026-05-09T19:47:44.358,82.0,2.0,1
2026-05-09T19:47:44.859,82.0,1.0,1
2026-05-09T19:47:45.359,82.0,2.0,1
2026-05-09T19:47:45.859,82.0,1.0,1
2026-05-09T19:47:46.359,82.0,1.0,1
2026-05-09T19:47:46.860,82.0,1.0,1
2026-05-09T19:47:47.360,82.0,2.0,1
2026-05-09T19:47:47.861,82.0,6.0,1
2026-05-09T19:47:48.361,82.0,1.0,1
2026-05-09T19:47:48.862,82.0,1.0,1
2026-05-09T19:47:49.362,82.0,1.0,1
2026-05-09T19:47:49.863,82.0,1.0,1
2026-05-09T19:47:50.363,82.0,1.0,1
2026-05-09T19:47:50.864,82.0,2.0,1
2026-05-09T19:47:51.364,82.0,1.0,1
2026-05-09T19:47:51.864,82.0,3.0,1
2026-05-09T19:47:52.365,82.0,2.0,1
2026-05-09T19:47:52.865,82.0,2.0,1
2026-05-09T19:47:53.365,82.0,1.0,1
2026-05-09T19:47:53.865,82.0,1.0,1
2026-05-09T19:47:54.366,82.0,2.0,1
2026-05-09T19:47:54.867,82.0,1.0,1
2026-05-09T19:47:55.368,82.0,1.0,1
2026-05-09T19:47:55.868,82.0,1.0,1
2026-05-09T19:47:56.369,82.0,2.0,1
2026-05-09T19:47:56.869,82.0,1.0,1
2026-05-09T19:47:57.369,82.0,1.0,1
2026-05-09T19:47:57.870,82.0,1.0,1
2026-05-09T19:47:58.370,82.0,1.0,1
2026-05-09T19:47:58.871,82.0,1.0,0
2026-05-09T19:47:59.371,82.0,5.0,1
2026-05-09T19:47:59.871,82.0,2.0,1
2026-05-09T19:48:00.372,82.0,1.0,1
2026-05-09T19:48:00.872,82.0,1.0,1
2026-05-09T19:48:01.373,82.0,1.0,1
2026-05-09T19:48:01.873,82.0,2.0,1
2026-05-09T19:48:02.373,82.0,1.0,1
2026-05-09T19:48:02.874,82.0,2.0,1
2026-05-09T19:48:03.375,82.0,1.0,1
2026-05-09T19:48:03.875,82.0,2.0,1
2026-05-09T19:48:04.376,82.0,1.0,1
2026-05-09T19:48:04.876,82.0,1.0,1
2026-05-09T19:48:05.376,82.0,2.0,1
2026-05-09T19:48:05.877,82.0,1.0,1
2026-05-09T19:48:06.377,82.0,1.0,1
2026-05-09T19:48:06.878,82.0,2.0,1
2026-05-09T19:48:07.378,82.0,2.0,1
2026-05-09T19:48:07.879,82.0,2.0,1
2026-05-09T19:48:08.379,82.0,6.0,1
2026-05-09T19:48:08.879,82.0,1.0,1
2026-05-09T19:48:09.380,82.0,2.0,1
2026-05-09T19:48:09.880,82.0,1.0,1
2026-05-09T19:48:10.380,82.0,4.0,1
2026-05-09T19:48:10.881,82.0,1.0,1
2026-05-09T19:48:11.382,82.0,4.0,1
2026-05-09T19:48:11.882,82.0,2.0,1
2026-05-09T19:48:12.383,82.0,1.0,1
2026-05-09T19:48:12.883,82.0,1.0,1
2026-05-09T19:48:13.384,82.0,2.0,1
2026-05-09T19:48:13.884,82.0,1.0,1
2026-05-09T19:48:14.384,82.0,2.0,1
2026-05-09T19:48:14.885,82.0,4.0,1
2026-05-09T19:48:15.385,82.0,1.0,1
2026-05-09T19:48:15.885,82.0,1.0,1
2026-05-09T19:48:16.386,82.0,1.0,1
2026-05-09T19:48:16.886,82.0,2.0,1
2026-05-09T19:48:17.387,82.0,1.0,1
2026-05-09T19:48:17.887,82.0,3.0,1
2026-05-09T19:48:18.387,82.0,2.0,1
2026-05-09T19:48:18.888,82.0,2.0,1
2026-05-09T19:48:19.388,82.0,1.0,1
2026-05-09T19:48:19.889,82.0,2.0,1
2026-05-09T19:48:20.389,82.0,5.0,1
2026-05-09T19:48:20.889,82.0,1.0,1
2026-05-09T19:48:21.390,82.0,1.0,1
2026-05-09T19:48:21.890,82.0,3.0,1
2026-05-09T19:48:22.390,82.0,1.0,1
2026-05-09T19:48:22.891,82.0,2.0,1
2026-05-09T19:48:23.391,82.0,1.0,1
2026-05-09T19:48:23.892,82.0,1.0,1
2026-05-09T19:48:24.392,82.0,2.0,1
2026-05-09T19:48:24.893,82.0,11.0,0
2026-05-09T19:48:25.393,82.0,1.0,0
2026-05-09T19:48:25.893,82.0,1.0,1
2026-05-09T19:48:26.394,82.0,1.0,0
2026-05-09T19:48:26.894,82.0,1.0,1
2026-05-09T19:48:27.395,82.0,7.0,1
2026-05-09T19:48:27.895,82.0,1.0,1
2026-05-09T19:48:28.396,82.0,1.0,0
2026-05-09T19:48:28.896,82.0,1.0,1
2026-05-09T19:48:29.396,82.0,1.0,1
2026-05-09T19:48:29.897,82.0,1.0,1
2026-05-09T19:48:30.397,82.0,1.0,1
2026-05-09T19:48:30.897,82.0,1.0,1
2026-05-09T19:48:31.397,82.0,2.0,1
2026-05-09T19:48:31.898,82.0,29.0,1
2026-05-09T19:48:32.398,82.0,1.0,1
2026-05-09T19:48:32.899,82.0,6.0,1
2026-05-09T19:48:33.399,82.0,2.0,1
2026-05-09T19:48:33.899,82.0,2.0,0
2026-05-09T19:48:34.400,82.0,2.0,1
2026-05-09T19:48:34.900,82.0,1.0,1
2026-05-09T19:48:35.400,82.0,2.0,0
2026-05-09T19:48:35.900,82.0,1.0,0
2026-05-09T19:48:36.401,82.0,2.0,1
2026-05-09T19:48:36.901,82.0,2.0,1
2026-05-09T19:48:37.402,82.0,1.0,1
2026-05-09T19:48:37.902,82.0,2.0,1
2026-05-09T19:48:38.402,82.0,1.0,1
2026-05-09T19:48:38.903,82.0,1.0,1
2026-05-09T19:48:39.403,82.0,3.0,1
2026-05-09T19:48:39.904,82.0,1.0,1
2026-05-09T19:48:40.404,82.0,1.0,1
2026-05-09T19:48:40.905,82.0,1.0,1
2026-05-09T19:48:41.405,82.0,1.0,0
2026-05-09T19:48:41.905,82.0,1.0,1
2026-05-09T19:48:42.406,82.0,1.0,1
2026-05-09T19:48:42.907,82.0,3.0,0
2026-05-09T19:48:43.407,82.0,2.0,1
2026-05-09T19:48:43.907,82.0,2.0,1
2026-05-09T19:48:44.407,82.0,1.0,1
2026-05-09T19:48:44.908,82.0,1.0,1
2026-05-09T19:48:45.408,82.0,1.0,1
2026-05-09T19:48:45.908,82.0,2.0,1
2026-05-09T19:48:46.409,82.0,3.0,1
2026-05-09T19:48:46.909,82.0,1.0,1
2026-05-09T19:48:47.410,82.0,1.0,1
2026-05-09T19:48:47.910,82.0,2.0,1
2026-05-09T19:48:48.410,82.0,1.0,1
2026-05-09T19:48:48.911,82.0,1.0,1
2026-05-09T19:48:49.412,82.0,1.0,1
2026-05-09T19:48:49.912,82.0,3.0,1
2026-05-09T19:48:50.413,82.0,1.0,1
2026-05-09T19:48:50.913,82.0,1.0,1
2026-05-09T19:48:51.413,82.0,1.0,1
2026-05-09T19:48:51.914,82.0,2.0,1
2026-05-09T19:48:52.414,82.0,2.0,1
2026-05-09T19:48:52.915,82.0,2.0,0
2026-05-09T19:48:53.415,82.0,14.0,0
2026-05-09T19:48:53.916,82.0,2.0,0
2026-05-09T19:48:54.416,82.0,2.0,1
2026-05-09T19:48:54.917,82.0,4.0,1
2026-05-09T19:48:55.417,82.0,1.0,0
2026-05-09T19:48:55.918,82.0,1.0,1
2026-05-09T19:48:56.418,82.0,2.0,1
2026-05-09T19:48:56.918,82.0,3.0,1
2026-05-09T19:48:57.419,82.0,2.0,0
2026-05-09T19:48:57.919,82.0,1.0,1
2026-05-09T19:48:58.420,82.0,1.0,1
2026-05-09T19:48:58.920,82.0,2.0,1
2026-05-09T19:48:59.420,82.0,3.0,1
2026-05-09T19:48:59.921,82.0,1.0,1
2026-05-09T19:49:00.421,82.0,2.0,1
2026-05-09T19:49:00.921,82.0,1.0,1
2026-05-09T19:49:01.422,82.0,1.0,1
2026-05-09T19:49:01.922,82.0,1.0,1
2026-05-09T19:49:02.423,82.0,1.0,1
2026-05-09T19:49:02.923,82.0,1.0,1
2026-05-09T19:49:03.424,82.0,1.0,1
2026-05-09T19:49:03.924,82.0,1.0,1
2026-05-09T19:49:04.424,82.0,2.0,1
2026-05-09T19:49:04.925,82.0,2.0,1
2026-05-09T19:49:05.425,82.0,2.0,1
2026-05-09T19:49:05.925,82.0,1.0,1
2026-05-09T19:49:06.426,82.0,2.0,1
2026-05-09T19:49:06.926,82.0,2.0,1
2026-05-09T19:49:07.426,82.0,2.0,1
2026-05-09T19:49:07.927,82.0,2.0,1
2026-05-09T19:49:08.427,82.0,2.0,1
2026-05-09T19:49:08.927,82.0,3.0,1
2026-05-09T19:49:09.428,82.0,2.0,1
2026-05-09T19:49:09.929,82.0,3.0,1
2026-05-09T19:49:10.429,82.0,3.0,1
2026-05-09T19:49:10.930,82.0,1.0,1
2026-05-09T19:49:11.430,82.0,8.0,1
2026-05-09T19:49:11.930,82.0,2.0,1
2026-05-09T19:49:12.431,82.0,1.0,1
2026-05-09T19:49:12.931,82.0,1.0,1
2026-05-09T19:49:13.432,82.0,3.0,1
2026-05-09T19:49:13.932,82.0,1.0,1
2026-05-09T19:49:14.433,82.0,1.0,1
2026-05-09T19:49:14.933,82.0,2.0,1
2026-05-09T19:49:15.433,82.0,4.0,0
2026-05-09T19:49:15.934,82.0,4.0,1
2026-05-09T19:49:16.434,82.0,2.0,1
2026-05-09T19:49:16.934,82.0,2.0,1
2026-05-09T19:49:17.435,82.0,2.0,1
2026-05-09T19:49:17.935,82.0,2.0,1
2026-05-09T19:49:18.435,82.0,2.0,1
2026-05-09T19:49:18.936,82.0,1.0,1
2026-05-09T19:49:19.436,82.0,1.0,1
2026-05-09T19:49:19.937,82.0,1.0,1
2026-05-09T19:49:20.437,82.0,3.0,1
2026-05-09T19:49:20.938,82.0,1.0,1
2026-05-09T19:49:21.439,82.0,1.0,1
2026-05-09T19:49:21.939,82.0,1.0,1
2026-05-09T19:49:22.440,82.0,1.0,1
2026-05-09T19:49:22.940,82.0,2.0,1
2026-05-09T19:49:23.440,82.0,1.0,1
2026-05-09T19:49:23.941,82.0,1.0,1
2026-05-09T19:49:24.441,82.0,1.0,1
2026-05-09T19:49:24.941,82.0,2.0,1
2026-05-09T19:49:25.442,82.0,1.0,1
2026-05-09T19:49:25.942,82.0,1.0,0
2026-05-09T19:49:26.443,82.0,1.0,1
2026-05-09T19:49:26.943,82.0,1.0,1
2026-05-09T19:49:27.444,82.0,1.0,1
2026-05-09T19:49:27.944,82.0,1.0,1
2026-05-09T19:49:28.445,82.0,2.0,1
2026-05-09T19:49:28.945,82.0,1.0,1
2026-05-09T19:49:29.445,82.0,1.0,1
2026-05-09T19:49:29.946,82.0,2.0,1
2026-05-09T19:49:30.446,82.0,1.0,1
2026-05-09T19:49:30.947,82.0,1.0,1
2026-05-09T19:49:31.447,82.0,1.0,1
2026-05-09T19:49:31.947,82.0,2.0,1
2026-05-09T19:49:32.448,82.0,2.0,1
2026-05-09T19:49:32.948,82.0,2.0,1
2026-05-09T19:49:33.448,82.0,1.0,1
2026-05-09T19:49:33.949,82.0,1.0,1
2026-05-09T19:49:34.449,82.0,1.0,1
2026-05-09T19:49:34.950,82.0,1.0,1
2026-05-09T19:49:35.451,82.0,1.0,0
2026-05-09T19:49:35.951,82.0,3.0,0
2026-05-09T19:49:36.452,82.0,1.0,0
2026-05-09T19:49:36.952,82.0,3.0,0
2026-05-09T19:49:37.452,82.0,3.0,0
2026-05-09T19:49:37.953,82.0,2.0,0
2026-05-09T19:49:38.453,82.0,1.0,0
2026-05-09T19:49:38.953,82.0,2.0,0
2026-05-09T19:49:39.454,82.0,2.0,0
2026-05-09T19:49:39.954,82.0,1.0,0
2026-05-09T19:49:40.454,82.0,4.0,1
2026-05-09T19:49:40.955,82.0,2.0,1
2026-05-09T19:49:41.455,82.0,2.0,1
2026-05-09T19:49:41.955,82.0,2.0,1
2026-05-09T19:49:42.455,82.0,1.0,1
2026-05-09T19:49:42.956,82.0,1.0,0
2026-05-09T19:49:43.456,82.0,2.0,0
2026-05-09T19:49:43.956,82.0,2.0,0
2026-05-09T19:49:44.456,82.0,1.0,0
2026-05-09T19:49:44.957,82.0,1.0,0
2026-05-09T19:49:45.457,82.0,2.0,0
2026-05-09T19:49:45.958,82.0,2.0,1
2026-05-09T19:49:46.458,82.0,5.0,1
2026-05-09T19:49:46.958,82.0,2.0,1
